Neighborhood name,Spellings,Zipcodes,Coordinate approx,Wiki,Description
Broadview,"broadview, broad view",98133,"47.720676, -122.368312","https://en.wikipedia.org/wiki/Broadview,_Seattle","Broadview is a neighborhood in the northwest corner of the city, bordering Shoreline. It was named after its panoramic views of the Puget Sound and Olympic Mountains."
Bitter Lake,"bitter lake, bitterlake",98125,"47.726, -122.351","https://en.wikipedia.org/wiki/Bitter_Lake,_Seattle",Bitter Lake is a neighborhood in Seattle named after its lake. It was mostly a Douglas fir and red cedar forest until the late 19th century. Development picked up when the Seattle-to-Everett Interurban streetcar reached the lake in 1906. A sawmill operated in the area until 1913 when most of the trees in the area had been cut down.
Blue Ridge,"blue ridge, blueridge",98177,"47.702888, -122.37844","https://en.wikipedia.org/wiki/Blue_Ridge,_Seattle","Blue Ridge is bounded on the south by NW 100th Street, beyond which lies Crown Hill; on the east by 12th Ave NW, beyond which lies Greenwood; on the north by Carkeek park; and on the west by the Puget Sound."
Crown Hill,"crown hill, crownhill",98117,"47.695668, -122.372253","https://en.wikipedia.org/wiki/Crown_Hill,_Seattle","Crown Hill is bounded on the south by NW 8th Street, beyond which is Loyal and Whittier Heights, followed by Ballard; on the east by 8th Ave; beyond which is Greenwood; on the north by NW 105th Street, beyond which are Broadview, Carkeek Park, and Blue Ridge. "
Greenwood,"greenwood, green wood",98117,"47.690612, -122.3553","https://en.wikipedia.org/wiki/Greenwood,_Seattle","Greenwood is a neighborhood in north central Seattle. The intesection of Greenwood Ave NE and North 85th Street is its commercial center. Greenwood is known for its bars, restaurants, coffee shops and specialty stores."
Northgate,"northgate, north gate",98125,"47.708333, -122.328333","https://en.wikipedia.org/wiki/Northgate,_Seattle","Northgate is an upscale district of neighborhoods in north urban Seattle named ofr and surrounding Northgate Mall, the first covered mall in the United States."
Maple Leaf,"mapleleaf, maple leaf","98125, 98115","47.6975, -122.319167","https://en.wikipedia.org/wiki/Maple_Leaf,_Seattle",The Maple Leaf neighborhood first appeared on maps in 1894 as a plat by real estate promoters and was originally called the Maple Leaf Addition to the Green Lake Tract.
Lake City,"lake city, lakecity",98125,"47.7175, -122.284012","https://en.wikipedia.org/wiki/Lake_City,_Seattle","Lake City is the northeast region of Seattle, centered along Lake City Way, 7-8 miles northeast of downtown."
Cedar Park,"cedarpark, cedar park",98125,"47.724444, -122.2875","https://en.wikipedia.org/wiki/Cedar_Park,_Seattle",Cedar Park is a neighborhood within Lake City. The name generally refers to the residential neighborhoods on the eastern edge of Lake City adjoining Lake Washington.
Matthews Beach,"matthew's beach, matthews beach",98115,"47.698333, -122.276667","https://en.wikipedia.org/wiki/Matthews_Beach,_Seattle",Matthews Beach is a neighborhood in Seattle that alongside Meadowbrook comprised the annexed township of Lake City.
Meadowbrook,"meadowbrook, meadowbrooke",98125,"47.706389, -122.294444","https://en.wikipedia.org/wiki/Meadowbrook,_Seattle","Meadowbrook is a neighborhood in the Lake City district (annexed in 1954) of Seattle, Washington."
Olympic Hills,"olympic hills, olympichills",98125,"47.726444, -122.302583","https://en.wikipedia.org/wiki/Olympic_Hills,_Seattle","Olympic Hills is a neighborhood in the Lake City district of Seattle, Washington."
Victory Heights,"victory heights, victoryheights",98125,"47.706389, -122.306917","https://en.wikipedia.org/wiki/Victory_Heights,_Seattle","Victory Heights is a neighborhood in the Lake City district of Seattle, Washington. It takes its name from the Victory Highway which formed the eastern border of the neighborhood."
Wedgwood,"wedgwood, wedgewood, wedge wood",98115,"47.690556, -122.286667","https://en.wikipedia.org/wiki/Wedgwood,_Seattle","Wedgwood is a middle class residential enighborhood of northeast Seattle, Washington, with a modest commercial strip."
View Ridge,"viewridge, view ridge",98115,"47.679444, -122.273889","https://en.wikipedia.org/wiki/View_Ridge,_Seattle","View Ridge is a neighborhood in northern Seattle. Its boundaries are generally thought of as NE 65th St in the south, 40 and 45th Aves NE in the west, Sand Point Country Club in the north and Sand Point Way NE in the east."
Sand Point,"sandpoint, sand point",98115,"47.682639, -122.254444","https://en.wikipedia.org/wiki/Sand_Point,_Seattle","Sand Point is a neighborhood in Seattle, WA named after the Sand Point peninsula that juts into Lake Washington, which is itself largely given over to Magnuson Park. "
Roosevelt,roosevelt,98115,"47.678056, -122.315278","https://en.wikipedia.org/wiki/Roosevelt,_Seattle","Roosevelt is a neighborhood in north Seattle, Washington. Its main thoroughfare, originally 10th Ave was renamed Roosevelt Way upon Theodore Roosevelt's death in 1919. The neighborhood received the name as a result of the Community Club contest held eight years later, in 1927. "
Ravenna,ravenna,98115,"47.676389, -122.301944","https://en.wikipedia.org/wiki/Ravenna,_Seattle","Ravenna is a neighborhood in northeastern Seattle, WA named after Ravenna, Italy. Although Ravenna is considered a residential enighborhood, it is also home to several businesses, many of which are located at the University Village shopping mall."
Bryant,bryant,98115,"47.672444, -122.284222","https://en.wikipedia.org/wiki/Bryant,_Seattle",Bryant is a residential neighborhood in northeast Seattle
Windermere,windermere,98105,"47.669722, -122.260833","https://en.wikipedia.org/wiki/Windermere,_Seattle","Windermere is a well-to-do residential neighborhood in Seattle, Washington, named after Windermere in England's Lake District."
Laurelhurst,"laurelhurst, lorelhurst",98105,"47.660278, -122.28","https://en.wikipedia.org/wiki/Laurelhurst,_Seattle","Laurelhurst is a residential neighborhood that is bounded by Ivanhoe Place NE in the northeast; beyond which is Windermere; on the northwest by Sand Point Way NE and NE 45th St, beyond which are Hawthorne Hills and Ravenna. On the west it is bounded by Mary Gates Memorial Drive; beyond which is the University of Washington campus. Seattle Children's Hospital is located in its northwest corner. "
University District,"university district, u district, u-district, uw-district",98105,"47.655, -122.303333","https://en.wikipedia.org/wiki/University_District,_Seattle","The University District or the U District is a district of neighborhoods in Seattle, Washington, so named because the main campus of the University of Washington (UW) is located there."
Wallingford,wallingford,98103,"47.659167, -122.336111","https://en.wikipedia.org/wiki/Wallingford,_Seattle","Wallingford is a neighborhood in north central Seattle, lying on a hill above the northern shore of Lake Union."
Northlake,"northlake, north lake","98103, 98115","47.65, -122.335833","https://en.wikipedia.org/wiki/Northlake,_Seattle",Northlake is the name of the neighborhood that comprises southern Wallingford
Green Lake,"greenlake, green lake","98115, 98103","47.680278, -122.327778","https://en.wikipedia.org/wiki/Green_Lake,_Seattle",Green Lake is a neighborhood in north central Seattle. Its centerpiece is the lake and park after which it's named.
Fremont,"freemont, freemount, fremount, fremont","98103, 98107","47.6505, -122.3499","https://en.wikipedia.org/wiki/Fremont,_Seattle","Fremont is a neighborhood in Seattle. Originally a separate city, it was annexed to Seattle in 1891 and is named after Fremont, Nebraska, the hometown of two of its foudners Luther H. Griffith and Edward Blewett. "
Phinney Ridge,"phinney ridge, finney ridge","98103, 98117","47.674167, -122.359722","https://en.wikipedia.org/wiki/Phinney_Ridge,_Seattle","Phinney Ridge is a neighborhood in north central Seattle. It is named after the ridge that runs north and south, separating Ballard from Green Lake."
Ballard,"ballard, balard","98107, 98117","47.677, -122.385","https://en.wikipedia.org/wiki/Ballard,_Seattle","Ballard is a neighborhood in the northwestern part of Seattle, known for its locks."
Sunset Hill,"sunset hills, sunset hill",98117,"47.683889, -122.4","https://en.wikipedia.org/wiki/Sunset_Hill,_Seattle","Sunset Hill is an area located in the northwest corner of the Ballard neighborhood of Seattle, WA."
Loyal Heights,"loyal heights, loyalheights",98117,"47.6831, -122.3843","https://en.wikipedia.org/wiki/Loyal_Heights,_Seattle","Loyal Heights is a neighborhood in Seattle, WA. It is considered part of greater Ballard."
Magnolia,"magnolia, mangolia",98199,"47.650556, -122.400833","https://en.wikipedia.org/wiki/Magnolia,_Seattle","Magnolia is the second largest neighborhood of Seattle, WA by area. It occupies a hilly peninsula northwest of Downtown. Magnolia has been part of the city since 1891. It is known for Discovery Park which comprises a large part of the neighborhood."
Queen Anne,"queen anne, queen ann","98119, 98109","47.637222, -122.356944","https://en.wikipedia.org/wiki/Queen_Anne,_Seattle",Queen Anne Hill is an affluent neighborhood northwest of downtown and west of Lake Union.
Capitol Hill,"capital hill, cap hill, capitol hill","98102, 98112, 98122","47.622942, -122.316456",https://en.wikipedia.org/wiki/Capitol_Hill_(Seattle),"Capitol Hill is a youthful, densely populated residential district in Seattle, WA. "
Montlake,"montlake, mountlake",98112,"47.6425, -122.305278","https://en.wikipedia.org/wiki/Montlake,_Seattle","Montlake is an affluent neighborhood in central Seattle, just south of the University of Washington"
Madison Park,"madison park, madisonpark",98112,"47.634944, -122.278861","https://en.wikipedia.org/wiki/Madison_Park,_Seattle","Madison Park is a neighborhood in east central Seattle, WA. It is named after the city park at the foot of E. Madison Street on the shore of Lake Washington."
South Lake Union,"slu, south lake union",98109,"47.624444, -122.331667","https://en.wikipedia.org/wiki/South_Lake_Union,_Seattle","South Lake Union (sometimes called the SLU) is a neighborhood in Seattle, WA. It is on the southern tip of Lake Union and is known for being home to Amazon HQ."
Westlake,"westlake, west lake",98109,"47.631667, -122.341111","https://en.wikipedia.org/wiki/Westlake,_Seattle",Westlake is a neighborhood in Seattle named after its location on the western shore of Lake Union.
Eastlake,"eastlake, east lake",98102,"47.638889, -122.325833","https://en.wikipedia.org/wiki/Eastlake,_Seattle",Eastlake is a neighborhood in Seattle named after its location on the eastern shore of Lake Union.
Downtown,downtown,"98101, 98104","47.608056, -122.336111",https://en.wikipedia.org/wiki/Downtown_Seattle,"Downtown is the dense, central business district of Seattle "
Belltown,"bell town, belltown",98121,"47.61322, -122.3465","https://en.wikipedia.org/wiki/Belltown,_Seattle","Belltown is the most dense neighborhood in Seattle. It makes up a large portion of the skyline, just northwest of Downtown proper."
First Hill,first hill,98104,"47.609288, -122.325046","https://en.wikipedia.org/wiki/First_Hill,_Seattle",First Hill is a neighborhood in Seattle named after the hill on which it sits. It is sometimes considered part of Capitol Hill and is home to Harborview Hospital and Seattle University.
Pioneer Square,"pioneer square, pioneer sq",98104,"47.6, -122.332","https://en.wikipedia.org/wiki/Pioneer_Square,_Seattle","Pioneer Square is a neighborhood in the Southwest corner of downtown, previously comprising the urban hub of Seattle"
International District,"international district, chinatown, china town, japantown, japan town, little saigon, cid","98104, 98144","47.5975, -122.320833","https://en.wikipedia.org/wiki/Chinatown-International_District,_Seattle","The Chinatown-International District of Seattle, also known by the three individual neighborhood names of Chinatown, Japantown and Little Saigon, is the center of Seattle's Asian American community"
Central District,"central district, cd","98144, 98122","47.601667, -122.314167","https://en.wikipedia.org/wiki/Central_District,_Seattle","The Central District, sometimes referred to as the ""CD"" is a mostly residential area of Seattle located east of First Hill, west of Madrona, Leschi and Mt. Baker, south of Capitol hill and north of Rainier Valley."
Madrona,"madrona, mardona",98122,"47.609389, -122.291083","https://en.wikipedia.org/wiki/Madrona,_Seattle",Madrona is a mostly residential neighborhood in east central Seattle
Leschi,"leschi, leshi","98122, 98144","47.600278, -122.292778","https://en.wikipedia.org/wiki/Leschi,_Seattle",Leschi is a neighborhood located east of the Central District on the shores of Lake Washington. The neighborhood is named after Chief Leschi of the Nisqually tribe.
Rainier Valley,rainier valley,"98118, 98144","47.551194, -122.288056","https://en.wikipedia.org/wiki/Rainier_Valley,_Seattle","The Rainier Valley district is located east of Beacon Hill; west of Mount Baker, Seward and Leschi; south of the Central district and north of Rainier Beach."
Mount Baker,"mount baker, mt baker",98144,"47.583333, -122.291667","https://en.wikipedia.org/wiki/Mount_Baker,_Seattle",Mount Baker is a neighborhood in southeast Seattle. The neighborhood's name originates from the view of Mount Baker in Whatcom County that is seen looking north over Lake Washington.
Columbia City,columbia city,98118,"47.5607, -122.287","https://en.wikipedia.org/wiki/Columbia_City,_Seattle",Columbia City is a neighborhood located in southeastern Seattle within the Rainier Valley district.
Seward Park,"seward park, seward",98118,"47.550556, -122.264444","https://en.wikipedia.org/wiki/Seward_Park,_Seattle","Seward Park is a neighborhood in southeast Seattle, just west of the park of the same name."
Beacon Hill,"beacon hill, beacon","98108, 98118","47.58, -122.315","https://en.wikipedia.org/wiki/Beacon_Hill,_Seattle",Beacon Hill is a hill and a neighborhood in southeast Seattle.
Sodo,"sodo, south of downtown",98134,"47.588889, -122.3325","https://en.wikipedia.org/wiki/SODO,_Seattle","SODO, or South of Downtown, is a neighborhood that makes up part of the city's Industrial District and houses Seattle's major league sports stadiums."
South Park,south park,98108,"47.530278, -122.323889","https://en.wikipedia.org/wiki/South_Park,_Seattle","South Park is a neighborhood in south central Seattle, WA."
West seattle,west seattle,98116,"47.561111, -122.386667","https://en.wikipedia.org/wiki/West_Seattle,_Seattle","West Seattle is an area of Seattle comprised of the Delridge, and Southwest neighborhoods."
Alki,"alki, akli",98116,"47.576271, -122.420818","https://en.wikipedia.org/wiki/Alki_Point,_Seattle",Alki is a peninsular neighborhood arround Alki Point
Delridge,"delridge, dellridge",98116,"47.536944, -122.360278","https://en.wikipedia.org/wiki/Delridge,_Seattle",Delridge is a neighborhood of West Seattle that stretches along Delridge Way
High Point,high point,98126,"47.544547, -122.369194","https://en.wikipedia.org/wiki/West_Seattle,_Seattle",High Point is a neighborhood in southwestern Seattle within the Delridge district
